Mês;Especialidade;Dias em fila;Em fila;Tempo médio de espera (Dias);Procedimentos realizados
2025/12;CIRURGIA VASCULAR/GERAL;6854;67;102.3;0
2023/10;GINECOLOGIA/GERAL;212;5;42.4;0
2025/09;UROLOGIA/8;4638;19;244.11;0
2024/11;GINECOLOGIA/2;349;6;58.17;0
2025/05;GINECOLOGIA/GERAL;18220;108;168.7;0
2024/05;CIRURGIA GERAL/7;1561;7;223.0;0
2023/02;GINECOLOGIA/2;36;2;18.0;0
2025/10;ONCOLOGIA/MASTOLOGIA;162;7;23.14;0
2024/03;OTORRINOLARINGOLOGIA/OUVIDO 3;183;2;91.5;0
2026/03;GINECOLOGIA;42937;486;88.35;487
2025/08;CIRURGIA GERAL/5;847;3;282.33;0
2026/09;GINECOLOGIA/GERAL;7751;135;57.41;0
2026/03;GINECOLOGIA/3;428;3;142.67;0
2023/10;CIRURGIA VASCULAR/5;66;2;33.0;0
2025/08;PROGRAMA TRANSEXUALIZADOR/GINECOLOGIA;529;8;66.13;0
2026/07;COLOPROCTOLOGIA/2;43;2;21.5;0
2024/02;CIRURGIA GERAL;26123;790;33.07;931
2023/10;CIRURGIA VASCULAR/7;350;2;175.0;0
2025/11;UROLOGIA/6;1029;2;514.5;0
2024/12;ORTOPEDIA/6;546;3;182.0;0
2025/07;ORTOPEDIA/COLUNA (BLOQUEIOS);253;5;50.6;0
2025/06;ORTOPEDIA/PÉ/TORNOZELO;1777;46;38.63;0
2025/07;CIRURGIA PLÁSTICA/4;602;3;200.67;0
2023/05;GINECOLOGIA/6;457;8;57.13;0
2026/06;CIRURGIA CARDÍACA - ANGIOPLASTIA;261;21;12.43;21
2025/05;ORTOPEDIA/JOELHO (ATJ);5564;11;505.82;0
2024/01;NEUROCIRURGIA/4;590;8;73.75;0
2023/05;OTORRINOLARINGOLOGIA/NARIZ 2;159;5;31.8;0
2023/10;ORTOPEDIA/1;429;84;5.11;0
2026/03;NEUROCIRURGIA/3;783;2;391.5;0
2024/04;PCCO - BARIATRICA;588;29;20.28;28
2024/11;CIRURGIA GERAL/3;858;24;35.75;0
2026/09;ORTOPEDIA/PLEXO BRAQUIAL;3688;15;245.87;0
2023/07;PCCO - BARIATRICA;402;14;28.71;13
2026/09;CIRURGIA PEDIÁTRICA/1;6908;158;43.72;0
2024/09;ORTOPEDIA/RETIRADA;190;5;38.0;0
2024/02;ORTOPEDIA/OMBRO;4734;102;46.41;0
2023/02;ORTOPEDIA/JOELHO (ARTROSCOPIAS);316;19;16.63;0
2025/03;CIRURGIA PLÁSTICA/4;2135;9;237.22;0
2023/10;ORTOPEDIA/GERAL;1365;115;11.87;0
2024/02;ORTOPEDIA/TUMOR;326;8;40.75;0
2023/04;UROLOGIA/1;498;15;33.2;0
2023/11;OTORRINOLARINGOLOGIA/OUVIDO 3;244;3;81.33;0
2026/04;BUCOMAXILOFACIAL/GERAL;912;16;57.0;0
2026/05;CIRURGIA GERAL/PAREDE E CAVIDADE ABDOMINAL;628;31;20.26;0
2026/06;UROLOGIA/GERAL;9714;133;73.04;0
2025/01;CIRURGIA GERAL/5;67;1;67.0;0
2026/03;CIRURGIA DE CABEÇA E PESCOÇO;588;10;58.8;18
2025/12;DERMATOLOGIA;116;8;14.5;8
2023/04;GINECOLOGIA/6;375;6;62.5;0
2023/10;CIRURGIA PEDIÁTRICA/3;928;7;132.57;0
2023/03;UROLOGIA/LITIASE;279;20;13.95;0
2026/08;ORTOPEDIA/REVISÃO QUADRIL;1054;3;351.33;0
2026/01;OFTALMOLOGIA/CATARATA OD;529;123;4.3;0
2024/12;ODONTOLOGIA PARA PACIENTES COM NECESSIDADES ESPECIAIS;924;20;46.2;15
2026/07;BUCOMAXILOFACIAL;104;7;14.86;38
2023/10;BUCOMAXILOFACIAL/ORTOGNÁTICA;88;4;22.0;0
2023/01;GINECOLOGIA/GERAL;31;3;10.33;0
2024/02;OTORRINOLARINGOLOGIA/CIRURGIAS PLÁSTICAS;1614;10;161.4;0
2023/12;CIRURGIA PLÁSTICA/3;30;1;30.0;0
2023/08;UROLOGIA/9;139;2;69.5;0
2026/02;MASTOLOGIA/2;58;2;29.0;0
2024/02;COLOPROCTOLOGIA/4;8;2;4.0;0
2025/04;UROLOGIA/RETIRADA DE DUPLO J;1993;134;14.87;0
2025/06;COLOPROCTOLOGIA;588;17;34.59;41
2024/04;GINECOLOGIA/2;29;1;29.0;0
2026/07;ORTOPEDIA/FIXADOR EXTERNO;4915;27;182.04;0
2025/01;CIRURGIA PLÁSTICA/4;2000;8;250.0;0
2025/05;CIRURGIA TORÁCICA/3;1458;7;208.29;0
2026/02;CIRURGIA VASCULAR/GERAL;1274;20;63.7;0
2025/01;ORTOPEDIA/OMBRO;1761;39;45.15;0
2025/10;ORTOPEDIA/GERAL;4543;43;105.65;0
2024/10;ONCOLOGIA/DERMATOLOGIA;990;20;49.5;0
2024/01;GINECOLOGIA/2;17;1;17.0;0
2026/05;CIRURGIA VASCULAR/3;1828;9;203.11;0
2023/06;UROLOGIA/LITIASE;1683;45;37.4;0
2026/01;OFTALMOLOGIA/OE;21681;322;67.33;0
2026/04;CIRURGIA VASCULAR/4;60;4;15.0;0
2026/02;NEUROCIRURGIA;1620;8;202.5;23
2025/10;CIRURGIA PEDIÁTRICA/1;3077;65;47.34;0
2025/05;OTORRINOLARINGOLOGIA/4;946;3;315.33;0
2024/04;OTORRINOLARINGOLOGIA/IMPLANTE COCLEAR;859;4;214.75;0
2025/03;BUCOMAXILOFACIAL/ORTOGNÁTICA;73;4;18.25;0
2026/09;CIRURGIA PLÁSTICA/10;47630;81;588.02;0
2024/11;OFTALMOLOGIA/AMBULATORIAL - OD;17877;359;49.8;0
2024/12;NEUROCIRURGIA;41;1;41.0;23
2023/07;OTORRINOLARINGOLOGIA/NARIZ 2;144;6;24.0;0
2023/06;CERFIS/2;513;24;21.38;0
2026/06;CIRURGIA GERAL/1;176;1;176.0;0
2024/10;OFTALMOLOGIA/HOSPITALAR - OE;174;25;6.96;0
2026/04;NEUROCIRURGIA/2;567;5;113.4;0
2025/12;OTORRINOLARINGOLOGIA/OUVIDO 3;222;3;74.0;0
2025/08;ORTOPEDIA/COLUNA (ARTRODESE);2269;11;206.27;0
2023/09;CIRURGIA PEDIÁTRICA/1;1636;66;24.79;0
2023/08;OTORRINOLARINGOLOGIA/OUVIDO 1;133;3;44.33;0
2025/04;ORTOPEDIA MUTIRÃO;9196;19;484.0;0
2024/12;OTORRINOLARINGOLOGIA/1;93;6;15.5;0
2023/02;COLOPROCTOLOGIA/2;48;4;12.0;0
2025/09;GINECOLOGIA/8;156;2;78.0;0
2026/01;CIRURGIA VASCULAR/6;347;4;86.75;0
2026/08;NEUROCIRURGIA/1;1535;16;95.94;0
2023/05;NEUROCIRURGIA/5;403;8;50.38;0
2025/10;COLOPROCTOLOGIA/3;402;6;67.0;0
2026/02;CIRURGIA GERAL/7;3206;8;400.75;0
2024/08;CIRURGIA CARDÍACA - ADULTO;149;17;8.76;30
2025/02;CIRURGIA GERAL/PAREDE E CAVIDADE ABDOMINAL;1224;27;45.33;0
2026/09;UROLOGIA/TRANSPLANTE RENAL 1;1770;2;885.0;0
2023/10;CIRURGIA PLÁSTICA/8;161;2;80.5;0
2023/04;NEUROCIRURGIA/4;162;7;23.14;0
2024/10;OFTALMOLOGIA/CATARATA OE;777;135;5.76;0
2025/05;ONCOLOGIA/APARELHO DIGESTIVO;18;2;9.0;0
2023/08;OFTALMOLOGIA/OE;18697;369;50.67;0
2023/05;CIRURGIA PLÁSTICA/6;112;2;56.0;0
2025/09;CIRURGIA PLÁSTICA/1;240;3;80.0;0
2023/10;PROGRAMA TRANSEXUALIZADOR;392;3;130.67;3
2023/01;CIRURGIA GERAL/3;179;46;3.89;0
2026/04;CIRURGIA CARDÍACA - ANGIOPLASTIA;2920;38;76.84;35
2025/12;OTORRINOLARINGOLOGIA/OUVIDO 1;284;7;40.57;0
2024/11;CIRURGIA GERAL/GERAL;4168;99;42.1;0
2026/09;GASTROENTEROLOGIA;514;8;64.25;1
2025/04;UROLOGIA;6928;114;60.77;454
2024/02;ORTOPEDIA;22787;667;34.16;1134
2024/12;CIRURGIA PLÁSTICA/4;1367;8;170.88;0
2024/07;CIRURGIA PLÁSTICA/10;94;1;94.0;0
2023/07;OTORRINOLARINGOLOGIA/2;238;6;39.67;0
2024/05;OTORRINOLARINGOLOGIA/3;1806;10;180.6;0
2024/12;OTORRINOLARINGOLOGIA;2378;50;47.56;100
2023/05;UROLOGIA/10;111;1;111.0;0
2024/10;CIRURGIA VASCULAR/2;417;12;34.75;0
2025/01;OTORRINOLARINGOLOGIA/CIRURGIAS PLÁSTICAS;78;3;26.0;0
2026/07;UROLOGIA/4;682;10;68.2;0
2025/06;ORTOPEDIA/COTOVELO;81;4;20.25;0
2026/08;NEUROCIRURGIA;709;5;141.8;42
2024/07;MASTOLOGIA/3;511;18;28.39;0
2024/03;CIRURGIA GERAL/3;761;41;18.56;0
2026/04;OTORRINOLARINGOLOGIA/CIRURGIAS PLÁSTICAS;471;3;157.0;0
2025/07;OFTALMOLOGIA/CATARATA OD;709;178;3.98;0
2023/09;CIRURGIA TORÁCICA;29;2;14.5;9
2023/04;COLOPROCTOLOGIA/2;122;4;30.5;0
2024/10;GINECOLOGIA/4;16;1;16.0;0
2026/07;ORTOPEDIA;63990;752;85.09;1231
2024/04;UROLOGIA/1;1078;35;30.8;0
