Mês;Central Regulação;Unidade de saúde;Unidade de saúde/Região;Especialidade;Sub-Especialidade;Complexidade;Vagas ofertadas;Vagas não preenchidas;Perda primária;Agendamentos cancelados pelo solicitante ou rotina automática;Perda primária sem cancelamentos;Agendamentos;Compareceu;Faltantes;Perda secundária;Tempo médio de espera (Dias)
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;8.0;8.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;2855356 / POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO GOIAS;RIO VERMELHO;CARDIOLOGIA;CARDIOLOGIA PEDIÁTRICA;ALTA;11.0;11.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;CARDIOLOGIA;(INATIVO)CARDIOLOGIA ADULTO;ALTA;10.0;10.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/10;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;24.0;24.0;100.0;2;91.67;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;ONCOLOGIA CLINICA;ONCOLOGIA CLINICA UROLOGIA;ALTA;22.0;22.0;100.0;1;95.45;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OTORRINOLARINGOLOGIA;OTORRINOLARINGOLOGIA GERAL;ALTA;18.0;18.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;2855356 / POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO GOIAS;RIO VERMELHO;CARDIOLOGIA;CARDIOLOGIA PEDIÁTRICA;ALTA;22.0;22.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;CARDIOLOGIA;(INATIVO)CARDIOLOGIA ADULTO;ALTA;22.0;21.0;95.45;1;90.91;0.0;0;0.0;0.0;0.0
2023/11;COMPLEXO REGULADOR ESTADUAL CRE;7743068 / HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL;CENTRAL;PNEUMOLOGIA;PNEUMOLOGIA GERAL;ALTA;66.0;65.0;98.48;2;95.45;0.0;0;0.0;0.0;0.0
2023/12;COMPLEXO REGULADOR ESTADUAL CRE;2535939 / HOSPITAL SAO COTTOLENGO;CENTRAL;OTORRINOLARINGOLOGIA;OTORRINOLARINGOLOGIA GERAL;ALTA;21.0;21.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
