Mês;Central Regulação;Unidade de saúde;Unidade de saúde/Região;Grupo de exames;Vagas ofertadas;Vagas não preenchidas;Perda primária;Agendamentos cancelados pelo solicitante ou rotina automática;Perda primária sem cancelamentos;Agendamentos;Compareceu;Faltantes;Perda secundária;Tempo médio de espera (Dias)
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;COLONOSCOPIA;90.0;27.0;30.0;0;30.0;63.0;0;63.0;100.0;74.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;ELETROCARDIOGRAMA;228.0;212.0;92.98;0;92.98;16.0;0;16.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;ENDOSCOPIA DIGESTIVA ALTA;116.0;56.0;48.28;0;48.28;60.0;1;59.0;98.33;366.33
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;RADIOGRAFIA;1110.0;1110.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;ULTRASSONOGRAFIA;89.0;73.0;82.02;0;82.02;16.0;0;16.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338262 / HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO;CENTRAL;UROGRAFIA VENOSA;114.0;114.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;(INATIVO) ANGIORESSONANCIA CEREBRAL;18.0;18.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;BIOPSIA DE PELE E PARTES MOLES;6.0;6.0;100.0;0;100.0;0.0;0;0.0;0.0;113.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;BIOPSIA DE PROSTATA;48.0;18.0;37.5;0;37.5;30.0;0;30.0;100.0;21.7
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;BIOPSIA DE TIREOIDE OU PARATIREOIDE-PAFF;9.0;9.0;100.0;0;100.0;0.0;0;0.0;0.0;77.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;Clister Opaco;11.0;6.0;54.55;0;54.55;5.0;0;5.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;ECODOPPLER TRANSCRANIANO;20.0;20.0;100.0;0;100.0;0.0;0;0.0;0.0;5.5
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;ELETRONEUROMIOGRAFIA;19.0;7.0;36.84;0;36.84;12.0;10;2.0;16.67;19.61
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;ESPIROMETRIA COM PROVA BRONCODILATADORA;60.0;21.0;35.0;0;35.0;39.0;13;26.0;66.67;219.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;MAMOGRAFIA;361.0;166.0;45.98;0;45.98;195.0;0;195.0;100.0;28.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;PLETISMOGRAFIA;45.0;45.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA - PAAF;16.0;16.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;RADIOGRAFIA;1029.0;941.0;91.45;0;91.45;88.0;0;88.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;TESTE ERGOMÉTRICO;70.0;25.0;35.71;0;35.71;45.0;27;18.0;40.0;13.51
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;ULTRASSONOGRAFIA;72.0;47.0;65.28;0;65.28;25.0;12;13.0;52.0;64.6
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;UROGRAFIA VENOSA;7.0;7.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2338734 / HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;CENTRAL;VIDEOLARINGOSCOPIA;15.0;11.0;73.33;0;73.33;4.0;2;2.0;50.0;220.67
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2339196 / HOSPITAL ESTADUAL DA MULHER DR JURANDIR DO NASCIMENTO HEMU;CENTRAL;ULTRASSONOGRAFIA;274.0;247.0;90.15;0;90.15;27.0;0;27.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;COLONOSCOPIA;80.0;14.0;17.5;0;17.5;66.0;36;30.0;45.45;100.42
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;ECOCARDIOGRAFIA TRANSTORACICA;45.0;35.0;77.78;0;77.78;10.0;9;1.0;10.0;24.21
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;ELETROCARDIOGRAMA;12.0;12.0;100.0;0;100.0;0.0;0;0.0;0.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;ENDOSCOPIA DIGESTIVA ALTA;72.0;32.0;44.44;0;44.44;40.0;11;29.0;72.5;427.05
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;RADIOGRAFIA;19.0;19.0;100.0;0;100.0;0.0;0;0.0;0.0;20.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2340194 / HOSPITAL ESTADUAL DE LUZIANIA;ENTORNO SUL;ULTRASSONOGRAFIA;200.0;118.0;59.0;0;59.0;82.0;37;45.0;54.88;94.47
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2361949 / HOSPITAL ESTADUAL DE JARAGUA SANDINO DE AMORIM;SAO PATRICIO II;ULTRASSONOGRAFIA;100.0;96.0;96.0;0;96.0;4.0;0;4.0;100.0;210.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2382474 / HOSPITAL ESTADUAL DE S LUIS DE MONTES BELOS DR GERALDO LANDO;OESTE II;RADIOGRAFIA;243.0;168.0;69.14;0;69.14;75.0;0;75.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2382474 / HOSPITAL ESTADUAL DE S LUIS DE MONTES BELOS DR GERALDO LANDO;OESTE II;ULTRASSONOGRAFIA;200.0;142.0;71.0;0;71.0;58.0;1;57.0;98.28;12.71
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2437783 / HOSPITAL ESTADUAL DE PIRENOPOLIS ERNESTINA LOPES JAIME;PIRENEUS;RADIOGRAFIA;120.0;120.0;100.0;0;100.0;0.0;0;0.0;0.0;13.38
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2437783 / HOSPITAL ESTADUAL DE PIRENOPOLIS ERNESTINA LOPES JAIME;PIRENEUS;ULTRASSONOGRAFIA;20.0;20.0;100.0;0;100.0;0.0;0;0.0;0.0;21.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2442604 / HOSPITAL NASR FAIAD;ESTRADA DE FERRO;ELETROCARDIOGRAMA;19.0;18.0;94.74;0;94.74;1.0;0;1.0;100.0;0.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2442604 / HOSPITAL NASR FAIAD;ESTRADA DE FERRO;RADIOGRAFIA;19.0;18.0;94.74;0;94.74;1.0;1;0.0;0.0;6.0
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2506661 / HOSPITAL ESTADUAL DOENCAS TROPICAIS DR ANUAR AUAD HDT;CENTRAL;BRONCOSCOPIA;16.0;8.0;50.0;0;50.0;8.0;7;1.0;12.5;23.6
2024/11;COMPLEXO REGULADOR ESTADUAL CRE;2506661 / HOSPITAL ESTADUAL DOENCAS TROPICAIS DR ANUAR AUAD HDT;CENTRAL;COLONOSCOPIA;49.0;16.0;32.65;0;32.65;33.0;11;22.0;66.67;382.3
